"Date","Price","Open","High","Low","Change %"
"Aug 06, 2018","0.01570","0.01580","0.01580","0.01570","-0.56%"
"Aug 05, 2018","0.01579","0.01579","0.01579","0.01579","-0.08%"
"Aug 03, 2018","0.01580","0.01580","0.01580","0.01570","0.00%"
"Aug 02, 2018","0.01580","0.01590","0.01590","0.01570","-0.63%"
"Aug 01, 2018","0.01590","0.01600","0.01600","0.01580","-0.62%"
"Jul 31, 2018","0.01600","0.01610","0.01610","0.01600","-0.62%"
"Jul 30, 2018","0.01610","0.01590","0.01610","0.01590","1.10%"
"Jul 29, 2018","0.01592","0.01592","0.01592","0.01592","0.15%"
"Jul 27, 2018","0.01590","0.01590","0.01600","0.01590","0.00%"
"Jul 26, 2018","0.01590","0.01590","0.01590","0.01580","0.00%"
"Jul 25, 2018","0.01590","0.01580","0.01590","0.01580","0.63%"
"Jul 24, 2018","0.01580","0.01580","0.01600","0.01570","-0.32%"
"Jul 23, 2018","0.01585","0.01585","0.01595","0.01575","0.66%"
"Jul 22, 2018","0.01575","0.01575","0.01575","0.01575","0.00%"
"Jul 20, 2018","0.01575","0.01575","0.01585","0.01575","0.32%"
"Jul 19, 2018","0.01570","0.01590","0.01590","0.01570","-1.26%"
"Jul 18, 2018","0.01590","0.01600","0.01600","0.01580","-0.62%"
"Jul 17, 2018","0.01600","0.01600","0.01610","0.01600","-0.31%"
"Jul 16, 2018","0.01605","0.01605","0.01615","0.01605","0.40%"
"Jul 15, 2018","0.01599","0.01599","0.01599","0.01599","-0.09%"
"Jul 13, 2018","0.01600","0.01610","0.01610","0.01590","-0.62%"
"Jul 12, 2018","0.01610","0.01600","0.01610","0.01600","0.62%"
"Jul 11, 2018","0.01600","0.01620","0.01620","0.01600","-1.23%"
"Jul 10, 2018","0.01620","0.01600","0.01620","0.01600","1.25%"
"Jul 09, 2018","0.01600","0.01590","0.01600","0.01590","0.75%"
"Jul 08, 2018","0.01588","0.01588","0.01588","0.01588","-0.12%"
"Jul 06, 2018","0.01590","0.01580","0.01590","0.01580","0.32%"
"Jul 05, 2018","0.01585","0.01585","0.01595","0.01585","0.32%"
"Jul 04, 2018","0.01580","0.01580","0.01590","0.01580","0.00%"
"Jul 03, 2018","0.01580","0.01580","0.01590","0.01570","0.00%"
"Jul 02, 2018","0.01580","0.01590","0.01590","0.01570","-0.88%"
"Jul 01, 2018","0.01594","0.01594","0.01594","0.01594","0.25%"
"Jun 29, 2018","0.01590","0.01590","0.01600","0.01590","0.00%"
"Jun 28, 2018","0.01590","0.01580","0.01590","0.01570","0.63%"
"Jun 27, 2018","0.01580","0.01590","0.01590","0.01580","-0.63%"
"Jun 26, 2018","0.01590","0.01590","0.01600","0.01580","0.00%"
"Jun 25, 2018","0.01590","0.01590","0.01600","0.01580","0.00%"
"Jun 24, 2018","0.01590","0.01590","0.01590","0.01590","0.00%"
"Jun 22, 2018","0.01590","0.01570","0.01590","0.01570","1.27%"
"Jun 21, 2018","0.01570","0.01570","0.01580","0.01560","0.00%"
"Jun 20, 2018","0.01570","0.01570","0.01580","0.01560","0.32%"
"Jun 19, 2018","0.01565","0.01585","0.01585","0.01565","-0.95%"
"Jun 18, 2018","0.01580","0.01580","0.01590","0.01570","-0.16%"
"Jun 17, 2018","0.01583","0.01583","0.01583","0.01583","0.16%"
"Jun 15, 2018","0.01580","0.01600","0.01600","0.01580","-1.25%"
